http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#1,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#2,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#3,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#4,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#5,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#6,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter2_trimestre2/2008page1-eng.aspx#7,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0900217,2008-07-03,"0499 Other professional services","2008-07-07 to 2009-03-31",,74865.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#1,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#2,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#3,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#4,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#5,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#6,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#7,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#8,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#9,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#10,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#11,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#12,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter1_trimestre1/2008page1-eng.aspx#13,"Canadian Human Rights Commission","Barbara Personnel",P0900095,2008-04-21,"0813 Temporary help services","2008-04-28 to 2008-09-19",,24879.75,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page1-eng.aspx,"Canadian Human Rights Commission","Aboriginal Leadership Institute",P0800588,2008-02-08,"0492 Research Contracts","2008-02-08 to 2008-03-31",,15750.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page2-eng.aspx,"Canadian Human Rights Commission","Altis Human Resources Inc.",P0800648,2008-03-14,"0813 Temporary help services","2008-03-17 to 2008-05-30",,33772.20,"Call-up against a Standing Offer"
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page3-eng.aspx,"Canadian Human Rights Commission","Altis Human Resources Inc.",P0800661,2008-03-20,"0813 Temporary help services","2008-03-25 to 2008-06-27",,36563.24,"Call-up against a Standing Offer"
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page4-eng.aspx,"Canadian Human Rights Commission","Barbara Personnel",P0800604,2008-02-15,"0813 Temporary help services","2008-02-19 to 2008-05-16",,16354.80,"Call-up against a Standing Offer"
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page5-eng.aspx,"Canadian Human Rights Commission",Conversart,P0800546,2008-01-15,"0813 Temporary help services","2008-01-09 to 2008-03-31",,24150.00,Contract
http://www.chrc-ccdp.ca/disclosure_divulgation/quarter4_trimestre4/2007page7-eng.aspx,"Canadian Human Rights Commission","KSR Network Consulting Inc.",P0800631,2008-03-03,"0491 Management consulting","2008-03-03 to 2008-03-31",,24570.00,Contract
