http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=60,"Hazardous Materials Information Review Commission","FMC Professional Inc.",1101030049,2010-02-03,"Cost Recovery Review","2010/02/03 to 2010/03/31",,23100.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=61,"Hazardous Materials Information Review Commission","Tico Sunset Network",1101024884,2010-01-18,"Information Technology Consultant","2010/01/18 to 2010/03/31",,24570.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=62,"Hazardous Materials Information Review Commission","KSAR &amp; Associates",1101029534,2010-02-02,"Strategic Communication Plan","2010/02/02 to 2010/03/31",,24999.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=63,"Hazardous Materials Information Review Commission","Ryan/Smith Design Associates",1101030322,2010-02-02,"Graphic Design","2010/02/02 to 2010/09/30",,14999.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=64,"Hazardous Materials Information Review Commission","TDV Global Inc.",1101099993,2010-03-31,"Corporate Finance Advisory","2010/03/31 to 2010/04/30",,20763.75,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=65,"Hazardous Materials Information Review Commission","Banfield Seguin Ltd",1101032253,2010-02-10,"Graphic Design","2010/02/10 to 2010/03/31",,14999.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=66,"Hazardous Materials Information Review Commission","Spirit Staffing Solutions",1101032278,2010-02-16,"Temporary Help Services","2010/02/16 to 2010/03/31",,12474.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=67,"Hazardous Materials Information Review Commission","Dr. Carey Stevens and Associates",1101029152,2010-02-04,"Organizational Alignment","2010/02/04 to 2010/03/31",,23625.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=56,"Hazardous Materials Information Review Commission","Banfield Seguin Ltd.",1101008754,2009-11-02,"HMET Project","2009/11/02 to 2010/03/31",,15000.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=57,"Hazardous Materials Information Review Commission","Cistel Technology Inc",1101012948,2009-11-18,"Database Development Project","2009/11/18 to 2011/03/31",,105376.95,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=58,"Hazardous Materials Information Review Commission","Spirit Staffing Solutions",1101018086,2009-12-12,"Temporary Help Services","2009/12/14 to 2010/03/31",,27753.47,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=50,"Hazardous Materials Information Review Commission","Transpolar/ The Halifax Group",1100981371,2009-07-20,"Strategic Planning","2009/07/20 to 2010/06/18",,283489.50,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=51,"Hazardous Materials Information Review Commission","Nanotechnology Toxicology Consulting &amp; Training",1100985273,2009-08-31,"Nano Technology Training","2009/08/31 to 2009/09/30",,21892.50,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=52,"Hazardous Materials Information Review Commission","Annie Passiant, HR Consultant",1100985555,2009-08-05,"HR Advisor","2009/08/05 to 2009/03/31",,24570.00,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=53,"Hazardous Materials Information Review Commission","Randstad Canada",1100989854,2009-08-08,"Temporary Help Services","2009/08/08 to 2010/03/31",,23221.80,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=54,"Hazardous Materials Information Review Commission","CLA Personnel",1100996779,2009-09-30,"Temporary Help Services","2009/09/30 to 2010/03/31",,46635.75,-
http://www.hmirc-ccrmd.gc.ca/disclosure-divulgation/10k-10mil/view_contract-eng.php?contractid=55,"Hazardous Materials Information Review Commission","Altis SPR",1100996782,2009-09-09,"Temporary Help Services","2009/09/30 to 2010/03/31",,118712.80,-
