http://www.psst-tdfp.gc.ca/article.asp?id=2813,"Public Service Staffing Tribunal","MSC MapleSoft Consulting Inc.",6-7004,2006-09-05,"0472 Information Technology Consultants","2006-08-28 to 2007-03-31",,68900.00,"Senior Systems Analyst for operational procedures"
http://www.psst-tdfp.gc.ca/article.asp?id=2811,"Public Service Staffing Tribunal","Interspec Furniture Solutions",TSSD06-0011,2006-08-10,"0665 Other equipment","2006-08-11 to 2006-08-31",,16990.53,"Mobile shelving system"
http://www.psst-tdfp.gc.ca/article.asp?id=2809,"Public Service Staffing Tribunal","Kelly-Sears Consulting Group",CON06-006,2006-07-25,"0499 Other professional services not elsewhere specified","2006-07-21 to 2006-09-29",,25000.00,"Provide assistance in preparation of business case"
http://www.psst-tdfp.gc.ca/article.asp?id=2807,"Public Service Staffing Tribunal","Nashel Management Inc.",6-7003,2006-07-13,"0472 Information technology consultants","2006-06-30 to 2007-03-31",,81090.00,"Analyse, develop and implement records and document management infrastructure"
http://www.psst-tdfp.gc.ca/article.asp?id=2805,"Public Service Staffing Tribunal","Cooper Consulting",CON06-002,2006-07-11,"0499 Other professional services not elsewhere specified","2006-06-30 to 2007-03-31",,25000.00,"Conduct organisational analysis and provide alternative structures"
http://www.psst-tdfp.gc.ca/article.asp?id=2803,"Public Service Staffing Tribunal","Artemp Personnel Services Inc.",CON06-004,2006-07-11,"0499 Other professional services not elsewhere specified","2006-06-30 to 2007-03-31",,25000.00,"Human resources analysis and staffing services"
http://www.psst-tdfp.gc.ca/article.asp?id=2801,"Public Service Staffing Tribunal","H3 Creative Inc.",CON06-003,2006-06-29,"0499 Other professional services not elsewhere specified","2006-06-30 to 2006-08-18",,15000.00,"Design, print and produce annual report"
http://www.psst-tdfp.gc.ca/article.asp?id=2799,"Public Service Staffing Tribunal","Softchoice Corporation",Jun-01,2006-06-26,"1228 Computer Software",2006-06-26,,13463.81,
http://www.psst-tdfp.gc.ca/article.asp?id=2797,"Public Service Staffing Tribunal",ExcelHR,TSD06-0016,2006-06-21,"0813 Temporary help services","2006-06-19 to 2006-09-06",,12971.61,
http://www.psst-tdfp.gc.ca/article.asp?id=2795,"Public Service Staffing Tribunal",ExcelHR,TSD06-0015,2006-06-21,"0813 Temporary help services","2006-06-19 to 2006-09-06",,12971.61,
