http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876664&,"National Film Board","LES FILMS DU CENTAURE INC",876664,2011-03-31,"0533 - Rental of Machinery, Office Furniture and Fixtures and Other Equipment",,2011-03-31,11224.50,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876622&,"National Film Board","APPLIED ELECTRONICS LTD",876622,2011-03-30,"1228 - Acquisition of Computer Software",,2011-03-31,11706.45,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876529&,"National Film Board","PHEROMONE INTERACTIF INC",876529,2011-03-29,"0472 - Information Technology Consultants",,2011-03-29,31494.75,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876384&,"National Film Board","GROUPE ITES CANADA INC",876384,2011-03-28,"1219 - Acquisition of Other Machinery and Parts",,2011-03-31,29625.86,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876374&,"National Film Board","PHEROMONE INTERACTIF INC",876374,2011-03-28,"0472 - Information Technology Consultants",,2011-03-31,10080.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876261&,"National Film Board","IBM CANADA LTD.",876261,2011-03-24,"1228 - Acquisition of Computer Software","2011-03-24 to 2011-12-31",,15904.35,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876249&,"National Film Board","L.L. LOZEAU LTEE",876249,2011-03-24,"1219 - Acquisition of Other Machinery and Parts",,2011-03-31,16026.86,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876102&,"National Film Board","AGENTIC COMMUNICATIONS INC.",876102,2011-03-22,"1228 - Acquisition of Computer Software",,2011-03-31,30345.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876008&,"National Film Board","SOFTCHOICE CORP.",876008,2011-03-21,"1228 - Acquisition of Computer Software",,2011-03-24,10602.90,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=876040&,"National Film Board","INSO MONTREAL",876040,2011-03-21,"1226 - Acquisition of Computer Equipment - Large/Medium - Mainframe, Mini",,2011-04-08,18827.76,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875937&,"National Film Board","SOFTCHOICE CORP.",875937,2011-03-18,"1226 - Acquisition of Computer Equipment - Large/Medium - Mainframe, Mini",,2011-03-31,22164.12,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875923&,"National Film Board","TOON BOOM ANIMATION INC",875923,2011-03-17,"0670 - Repair of Computer Equipment - Hardware and Software","2011-04-01 to 2012-03-31",,11118.22,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875716&,"National Film Board","XEROX CANADA LTEE.",875716,2011-03-15,"0533 - Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2011-04-01 to 2016-03-31",,19341.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875465&,"National Film Board","PHEROMONE INTERACTIF INC",875465,2011-03-08,"0472 - Information Technology Consultants",,2011-03-15,18217.50,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875464&,"National Film Board","XEROX CANADA LTEE.",875464,2011-03-08,"0533 - Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2011-04-01 to 2016-03-31",,24948.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875120&,"National Film Board",ARTOPEX,875120,2011-02-28,"1231 - Acquisition of Office Furniture and Furnishings, Including Parts",,2011-02-28,12971.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875101&,"National Film Board","APPLIED ELECTRONICS LTD",875101,2011-02-26,"1219 - Acquisition of Other Machinery and Parts",,2011-02-28,18740.40,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=875076&,"National Film Board","SOFTCHOICE CORP.",875076,2011-02-25,"0670 - Repair of Computer Equipment - Hardware and Software",,2011-02-28,12836.25,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=874996&,"National Film Board","SOFTCHOICE CORP.",874996,2011-02-24,"1226 - Acquisition of Computer Equipment - Large/Medium - Mainframe, Mini",,2011-02-28,89648.79,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=874928&,"National Film Board","ERNST &amp; YOUNG CONSEIL INC.",874928,2011-02-22,"0491 - Management Consulting",,2011-02-28,47250.00,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=874815&,"National Film Board","DOLBY LABORATORIES INC.",874815,2011-02-18,"1219 - Acquisition of Other Machinery and Parts",,2011-02-28,45922.32,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=874801&,"National Film Board","DVS DIGITAL VIDEO INC.",874801,2011-02-17,"1226 - Acquisition of Computer Equipment - Large/Medium - Mainframe, Mini",,2011-02-28,32751.25,
http://www.onf-nfb.gc.ca/eng/about-us/publications/contrat-detail.php?trimestre=4&anneef=2010-2011&annee=2010&refe=874771&,"National Film Board","SONO VIDEO INC",874771,2011-02-17,"1219 - Acquisition of Other Machinery and Parts",,2011-02-17,15666.00,
